code,localidad
279,CINCO SALTOS
280,CIPOLLETTI
281,CITY BELL
282,CIUDAD AUTONOMA DE BUENOS AIRES
283,CIUDAD EVITA
284,CIUDADELA
285,CLAROMECO
286,CLASON
287,CLAUDIO C.MOLINA
288,CLODOMIRA
289,CLORINDA
290,CLUCELLAS
291,CNEL.BRANDSEN
292,CNEL.CHARLONE
293,CNEL.DORREGO
294,CNEL.DU GRATY
295,CNEL.GRANADA
296,CNEL.HILARIO LAGOS
297,CNEL.ISLEÑO
298,CNEL.MOLDES
299,CNEL.PRINGLES
300,CNEL.SUAREZ
301,CNEL.VIDAL
302,COCHRANE
303,COLASTINE
304,COLON
305,COLONIA ADOLFO ALSINA
306,COLONIA ALBERDI
307,COLONIA BARON HIRSCH
308,COLONIA BELGRANO
309,COLONIA BENITEZ
310,COLONIA BERLIN
311,COLONIA CNEL.BRANDSEN
312,COLONIA CNEL.DORREGO
313,COLONIA DELFINO
314,COLONIA DOLORES
315,COLONIA ESCRIBANO
316,COLONIA HANSEN
317,COLONIA INCHAUSTI
318,COLONIA LEIVA
319,COLONIA MARIA MAGDALENA
320,COLONIA MORGAN
321,COLONIA REINA MARGARITA
322,COLONIA SAN FRANCISCO
323,COLONIA VICTORIA
324,COLONIA WANDA
325,COLONIAS UNIDAS
326,COLPES
327,COMANDANTE ANDRESITO
328,COMANDANTE NICANOR OTAMENDI
329,COMODORO RIVADAVIA
330,CONCEPCION
331,CONCEPCION DE LA SIERRA
332,CONDOR
333,CONESA
334,COQUIMBITO
335,CORDOBA
336,CORONDA
337,CORREA
338,CORRIENTES
339,CORTINES
340,COSQUIN
341,COSTA AZUL
342,CRISTIANO MUERTO
343,CRUZ ALTA
344,CRUZ DEL EJE
345,CUATRO ESQUINAS
346,CUENCA
347,CULLEN (APEADERO FCGM)
348,CURUZU CUATIA
349,CUTRAL-CO
350,DAIREAUX
351,DARREGUEIRA
352,DARWIN
353,DEAN FUNES
354,DEL VALLE
355,DEL VISO
356,DIAZ
357,DIEGO DE ALVEAR
358,DINA HUAPI
359,DIVISADERO
360,DOCK SUD
361,DOLORES
362,DOMSELAAR
363,DON BOSCO
364,DON TORCUATO
365,DUDIGNAC
366,EL ALGARROBAL
367,EL BAGUAL
368,EL BOLSON
369,EL BRACHO
370,EL CARMEN (LA PLATA)
371,EL CIPRES
372,EL COLORADO
373,EL ESPINILLO
374,EL GALPON
375,EL JAGUEL
376,EL MAITEN
377,EL NARANJO
378,EL PAJONAL
379,EL PALMAR
380,EL PALOMAR
381,EL PEREGRINO
382,EL PORVENIR
383,EL RINCON
384,EL SOCORRO
385,EL TALAR
386,EL TIMBO
387,EL TREBOL
388,EL TRIUNFO
389,EL TROPEZON
390,ELDIA
391,ELDORADO
392,EMBAJADOR MARTINI
393,EMBALSE
394,EMBARCACION
395,EMPEDRADO
396,ENCINA
397,ENERGIA
398,ENSENADA
399,ESCOBAR
400,ESMERALDA
401,ESPARTILLAR (SAAVEDRA)
402,ESPERANZA
403,ESPIGAS
404,ESPIN
405,ESQUEL
406,ESQUINA
407,ESTACION MAZAN
408,ESTEBAN A.GASCON
409,ESTRADA
410,ETCHEGOYEN
411,EZEIZA
412,EZPELETA
413,FABRICA MILITAR SAN LORENZO
414,FAMAILLA
415,FELICIA
416,FERNANDEZ
417,FIAMBALA
418,FIRMAT
419,FLORA
420,FLORENCIO VARELA
421,FLORENTINO AMEGHINO
422,FLORIDA
423,FONTANA
424,FORMOSA
425,FORRES
426,FRAILE PINTADO
427,FRANCISCO MADERO
428,FRAY LUIS BELTRAN
429,FRIAS
430,FRONTERA
431,FUNES
432,GABOTO
433,GAHAN
434,GAIMAN
435,GALVEZ
436,GANCEDO
437,GARIN
438,GARUPA
439,GDOR.CANDIOTI
440,GDOR.CRESPO
441,GDOR.ING.VALENTIN VIRASORO
442,GDOR.ROCA
443,GERLI (AVELLANEDA)
444,GERLI (LANUS)
445,GLEW
446,GODOY
447,GODOY CRUZ
448,GONZALEZ CATAN
449,GONZALEZ MORENO
450,GOUDGE
451,GOYA
452,GOYENA
453,GRAL. JOSE DE SAN MARTIN
454,GRAL.ACHA
455,GRAL.ALVARADO
456,GRAL.ALVEAR
457,GRAL.ARENALES
458,GRAL.BALDISSERA
459,GRAL.BELGRANO
460,GRAL.CERRI
461,GRAL.CONESA
462,GRAL.DEHEZA
463,GRAL.ENRIQUE MOSCONI
464,GRAL.FERNANDEZ ORO
465,GRAL.GUIDO
466,GRAL.GUTIERREZ
467,GRAL.GEMES
468,GRAL.LA MADRID
469,GRAL.LAS HERAS
470,GRAL.LAVALLE
471,GRAL.MADARIAGA
472,GRAL.O'BRIEN
473,GRAL.PACHECO
474,GRAL.PAZ
475,GRAL.PICO
476,GRAL.PINEDO
477,GRAL.PINTO
478,GRAL.PIRAN
479,GRAL.ROCA
480,GRAL.RODRIGUEZ
481,GRAL.ROJO
482,GRAL.SAN MARTIN
483,GRAL.VILLEGAS
484,GRANADERO BAIGORRIA
485,GRAND BOURG
486,GUAMINI
487,GUARDIA MITRE
488,GUATIMOZIN
489,GUERNICA
490,GUIDO SPANO
491,HAEDO
492,HELVECIA
493,HENDERSON
494,HERMOSO CAMPO
495,HERNANDO
496,HILARIO ASCASUBI
497,HINOJO
498,HUANQUELEN
499,HUGHES
500,HUINCA RENANCO
501,HUMAHUACA
502,HUMBOLDT
503,HURLINGHAM
504,IBARRETA
505,IDIAZABAL
506,IGUAZU
507,INDIO RICO
508,ING.GIAGNONI
509,ING.GUSTAVO ANDRE
510,ING.JACOBACCI
511,ING.LUIGGI
512,ING.LUIS A.HUERGO
513,ING.MASCHWITTZ
514,ING.MONETA
515,ING.WHITE
516,INTENDENTE  ALVEAR
517,IRIARTE
518,ISIDRO CASANOVA
519,ISLA DEL CERRITO
520,ISLA GRANDE
521,ISLA VERDE
522,ITA-IBATE
523,ITATI
524,ITURRASPE
525,ITUZAINGO
526,JACHAL
527,JAMES CRAIK
528,JESUS MARIA
529,JOAQUIN V.GONZALEZ
530,JOSE C.PAZ
531,JOSE DE SAN MARTIN
532,JOSE GUISASOLA
533,JOSE LEON SUAREZ
534,JOSE MARMOL
535,JUAN BAUTISTA ALBERDI
536,JUAN DIAZ
537,JUAN JOSE CASTELLI
538,JUAN VELA
539,JUJUY
540,JUMI POZO
541,JUNIN
542,JUNIN DE LOS ANDES
543,JUSTINIANO POSSE
544,LA BANDA
545,LA CALERA
546,LA CALIFORNIA
547,LA CARLOTA
548,LA CARRETA
549,LA CAÑADA
550,LA CIENEGUITA
551,LA CLARA
552,LA COCHA
553,LA CONSULTA
554,LA COSTA
555,LA CRUZ
556,LA CUMBRE
557,LA DULCE
